trinta: .word 20, 20
.byte 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,9,9,73,82,82,73,0,0,0,0,9,82,82,82,82,73,0,0,
0,91,255,255,255,255,255,255,73,0,0,9,173,255,255,255,255,182,73,0,
0,9,91,91,91,91,91,255,91,0,9,255,91,164,91,82,82,91,255,9,
0,0,0,0,0,0,82,255,91,0,82,255,82,0,0,0,0,82,255,82,
0,0,0,0,0,0,9,246,164,0,82,255,82,0,0,0,0,9,255,91,
0,0,0,0,0,0,9,246,164,0,82,255,82,0,0,0,0,9,255,91,
0,0,0,0,0,0,73,246,164,0,82,255,82,0,0,0,0,73,255,91,
0,82,164,173,173,246,246,255,246,9,82,255,82,0,0,0,0,82,255,82,
0,182,255,255,255,255,255,255,246,9,82,255,82,0,0,0,0,73,255,82,
0,9,82,82,82,82,73,246,173,0,91,255,9,0,0,0,0,9,255,91,
0,0,0,0,0,0,0,246,173,0,164,255,9,0,0,0,0,9,255,164,
0,0,0,0,0,0,0,246,173,0,173,246,9,0,0,0,0,9,246,173,
0,0,9,9,9,9,9,246,173,0,246,255,9,0,0,0,0,9,246,164,
0,9,255,255,246,246,246,255,173,0,182,182,82,82,9,9,9,9,246,91,
0,0,91,164,173,173,173,182,82,0,0,9,246,255,246,246,246,164,9,0,
0,0,0,0,0,0,0,0,0,0,0,0,91,173,173,173,164,73,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,


