zumbi_12: .word 12, 12
.byte 199,199,199,199,199,199,199,199,199,199,199,199,
199,199,199,199,83,82,82,142,199,199,199,199,
199,199,199,83,24,24,25,166,158,199,199,199,
199,199,135,17,34,25,34,99,166,199,199,199,
199,199,199,82,43,25,35,24,83,199,199,199,
199,199,199,83,25,25,24,17,77,199,199,199,
199,135,82,24,25,25,26,18,12,79,199,199,
199,77,12,76,24,25,19,18,12,70,199,199,
199,78,135,141,18,18,18,18,76,199,199,199,
199,199,199,142,19,141,77,19,134,199,199,199,
199,199,199,141,18,141,141,18,141,199,199,199,
199,199,199,134,76,134,134,76,134,199,199,199,


